pair_id,smiles_A,smiles_B,source,transformation,analogs_generated,unique_analogs,B_recovered_exact,B_rank_by_tanimoto,best_tanimoto,top10_tanimoto_mean,smirks_that_recovered_B,runtime_s
CHEMBL_MMP_00001,N#Cc1ccc(-c2cc(C(N)=O)c(Cl)nn2)cc1Cl,NC(=O)c1cc(-c2ccc(F)c(Cl)c2)nnc1Cl,ChEMBL-37/mmpdb,[*:1]C#N>>[*:1]F,199,129,False,,0.7632,0.6311,,1.0004
CHEMBL_MMP_00002,COc1cc(C(C)(C)C)c(OC)cc1CC(C)N,COc1cc(C(C)C)c(OC)cc1CC(C)N,ChEMBL-37/mmpdb,[*:1]C>>[*:1][H],206,144,False,,0.5946,0.5601,,0.9642
CHEMBL_MMP_00003,COc1cc(OC)c(-c2coc3c4c(ccc3c2=O)OC(C)(C)C=C4)cc1OC,COc1ccc(-c2coc3c4c(ccc3c2=O)OC(C)(C)C=C4)c(OC)c1,ChEMBL-37/mmpdb,[*:1]OC>>[*:1][H],317,217,False,,0.7321,0.7252,,2.2909
CHEMBL_MMP_00004,Cc1cccc(Sc2cnc(O)nc2)c1,Oc1ncc(Sc2ccccc2)cn1,ChEMBL-37/mmpdb,[*:1]C>>[*:1][H],200,126,False,,0.6129,0.569,,0.8108
CHEMBL_MMP_00005,COc1ccc2[nH]cc(CCN)c2c1,NCCc1c[nH]c2ccc(O)cc12,ChEMBL-37/mmpdb,[*:1]C>>[*:1][H],165,112,True,1,1.0,0.6459,OSUB_002;AROM016,1.2887
CHEMBL_MMP_00006,CN(C)c1ncnc2c1ncn2Cc1cccc(Br)c1,CN(C)c1ncnc2c1ncn2Cc1cccc(O)c1,ChEMBL-37/mmpdb,[*:1]Br>>[*:1]O,215,137,False,,0.7447,0.6568,,0.9452
CHEMBL_MMP_00007,O=C(NCCCn1ccnc1)c1sc2cc(F)ccc2c1Cl,O=C(NCCCn1ccnc1)c1sc2ccccc2c1Cl,ChEMBL-37/mmpdb,[*:1]F>>[*:1][H],175,114,False,,0.75,0.694,,1.6043
CHEMBL_MMP_00008,COc1cc(CC(C)N)c(OC)cc1Cl,COc1cc(CC(C)N)c(OC)cc1O,ChEMBL-37/mmpdb,[*:1]Cl>>[*:1]O,200,140,False,,0.6857,0.6,,0.7786
CHEMBL_MMP_00009,Cc1cn(CCCNC(=O)c2ccc(Cl)s2)cn1,O=C(NCCCn1ccnc1)c1ccc(Cl)s1,ChEMBL-37/mmpdb,[*:1]C>>[*:1][H],84,57,False,,0.6735,0.6105,,0.2077
CHEMBL_MMP_00010,COc1c2occc2c(CO)c2ccc(=O)oc12,COCc1c2ccoc2c(OC)c2oc(=O)ccc12,ChEMBL-37/mmpdb,[*:1]CO>>[*:1]COC,127,86,True,1,1.0,0.7666,OSUB_011,1.2553
CHEMBL_MMP_00011,COc1ccc2c(c1)c(CCN(C)C)cn2C,CCCn1cc(CCN(C)C)c2cc(OC)ccc21,ChEMBL-37/mmpdb,[*:1]C>>[*:1]CCC,181,124,False,,0.8095,0.6694,,1.316
CHEMBL_MMP_00012,Cc1nn(-c2ccccc2)c(-c2ccccc2)c1C,CCCc1c(C)nn(-c2ccccc2)c1-c1ccccc1,ChEMBL-37/mmpdb,[*:1]C>>[*:1]CCC,245,149,False,,0.7714,0.6075,,1.8848
CHEMBL_MMP_00013,OCCNc1ncnc2c1ncn2Cc1ccccc1,COc1ncnc2c1ncn2Cc1ccccc1,ChEMBL-37/mmpdb,[*:1]NCCO>>[*:1]OC,158,102,False,,0.6042,0.5408,,0.902
CHEMBL_MMP_00014,CCOC(=O)Nc1ccc(N(C)c2cccc(OC)c2)cc1,CCOC(=O)Nc1ccc(Nc2cccc(OC)c2)cc1,ChEMBL-37/mmpdb,[*:1]C>>[*:1][H],343,217,False,,0.6531,0.6136,,1.7749
CHEMBL_MMP_00015,Nc1nc(N)c2cc(Sc3ccc(Cl)c(Cl)c3)ccc2n1,Nc1nc(O)c2cc(Sc3ccc(Cl)c(Cl)c3)ccc2n1,ChEMBL-37/mmpdb,[*:1]N>>[*:1]O,308,189,False,,0.7436,0.6533,,2.0264
CHEMBL_MMP_00016,COc1cc(O)c(Br)cc1C=C1SC(=O)NC1=O,C=CCc1cc(C=C2SC(=O)NC2=O)c(OC)cc1O,ChEMBL-37/mmpdb,[*:1]Br>>[*:1]CC=C,233,159,False,,0.66,0.5617,,1.2999
CHEMBL_MMP_00017,CNc1ccc(Cl)cc1C(=O)c1cc(OC)c(OC)c(OC)c1,COc1cc(C(=O)c2cc(Cl)ccc2O)cc(OC)c1OC,ChEMBL-37/mmpdb,[*:1]NC>>[*:1]O,293,197,False,,0.6905,0.6559,,2.2452
CHEMBL_MMP_00018,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3=O,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(CC)C(C)C3=O,ChEMBL-37/mmpdb,[*:1]C>>[*:1]CC,133,99,True,1,1.0,0.8125,META025,1.8431
CHEMBL_MMP_00019,COc1cc(C(C)C)c(OC)cc1CC(C)N,CCCc1cc(OC)c(CC(C)N)cc1OC,ChEMBL-37/mmpdb,[*:1]C(C)C>>[*:1]CCC,206,145,False,,0.6389,0.5945,,0.924
CHEMBL_MMP_00020,CN(C)c1cccc2c(S(=O)(=O)Nc3ccc(C#N)nn3)cccc12,COc1ccc(NS(=O)(=O)c2cccc3c(N(C)C)cccc23)nn1,ChEMBL-37/mmpdb,[*:1]C#N>>[*:1]OC,322,198,False,,0.68,0.6198,,1.7765
CHEMBL_MMP_00021,CCCc1ccc(OCCCc2cc3c(cc2O)CCO3)cc1,Oc1cc2c(cc1CCCOc1ccc(Cl)cc1)OCC2,ChEMBL-37/mmpdb,[*:1]CCC>>[*:1]Cl,273,188,False,,0.7708,0.7191,,2.1112
CHEMBL_MMP_00022,COC(=O)c1cc(NC(=O)c2cccs2)ccc1OCC(O)CNC(C)(C)C,CCOC(=O)c1cc(NC(=O)c2cccs2)ccc1OCC(O)CNC(C)(C)C,ChEMBL-37/mmpdb,[*:1]C>>[*:1]CC,272,173,True,1,1.0,0.8386,STER_011;ETHER003;META025;EST002,1.3068
CHEMBL_MMP_00023,N#CCCCc1cc2c(cc1O)CCO2,OCCCc1cc2c(cc1O)CCO2,ChEMBL-37/mmpdb,[*:1]C#N>>[*:1]O,173,125,False,,0.7105,0.6102,,1.1074
CHEMBL_MMP_00024,N#Cc1ccc(CC(NC(=O)c2ccccc2Br)C(=O)O)cc1,O=C(NC(Cc1ccc(O)cc1)C(=O)O)c1ccccc1Br,ChEMBL-37/mmpdb,[*:1]C#N>>[*:1]O,339,219,False,,0.7857,0.673,,1.7584
CHEMBL_MMP_00025,O=[N+]([O-])c1cc2c(ccc3cc(Br)ccc32)o1,COc1ccc2c(ccc3oc([N+](=O)[O-])cc32)c1,ChEMBL-37/mmpdb,[*:1]Br>>[*:1]OC,225,135,False,,0.6429,0.5732,,2.1143
CHEMBL_MMP_00026,Cc1ccc2nc(N3CCNCC3)cnc2c1,N#Cc1ccc2nc(N3CCNCC3)cnc2c1,ChEMBL-37/mmpdb,[*:1]C>>[*:1]C#N,161,98,False,,0.6667,0.6351,,0.9062
