seed_id,therapeutic_class,analog_smiles,scaffold_preserved,has_pains,has_brenk,lipinski_violations,heavy_atom_delta,logp_delta,n_smirks_producing_it
SEED_001,NSAID,CC(=O)Oc1ccccc1-c1nnn[nH]1,False,False,True,0,2,-0.518,2
SEED_001,NSAID,CC(=O)Oc1ccccc1C(=O)NS(C)(=O)=O,True,False,True,0,4,-1.009,2
SEED_001,NSAID,CC(=O)Oc1ccccc1C(=O)NO,True,False,True,0,1,-0.579,2
SEED_001,NSAID,CC(=O)Oc1cccnc1C(=O)O,False,False,False,0,0,-0.605,5
SEED_001,NSAID,CC(=O)Oc1ccncc1C(=O)O,False,False,False,0,0,-0.605,5
SEED_001,NSAID,CC(=O)Oc1cnccc1C(=O)O,False,False,False,0,0,-0.605,5
SEED_001,NSAID,CC(=O)Oc1ncccc1C(=O)O,False,False,False,0,0,-0.605,5
SEED_001,NSAID,CC(=O)Oc1cncnc1C(=O)O,False,False,False,0,0,-1.21,2
SEED_001,NSAID,CC(=O)Oc1ncncc1C(=O)O,False,False,False,0,0,-1.21,2
SEED_001,NSAID,[2H]C([2H])([2H])C(=O)Oc1ccccc1C(=O)O,True,False,True,0,0,0.0,1
SEED_001,NSAID,O=C(O)c1ccccc1OC(=O)C(F)(F)F,True,False,True,0,3,0.542,2
SEED_001,NSAID,CC(=O)Oc1ccccc1C(N)=O,True,False,True,0,0,-0.599,2
SEED_001,NSAID,COC(=O)c1ccccc1OC(C)=O,True,False,True,0,1,0.088,3
SEED_001,NSAID,CC(=O)Oc1ccccc1C(=O)OC(F)(F)F,True,False,True,0,4,0.978,1
SEED_001,NSAID,CC(=O)OC(=O)c1ccccc1OC(C)=O,True,False,True,0,3,0.005,1
SEED_001,NSAID,CC(=O)Oc1ccccc1C(=O)C(F)F,True,False,True,0,2,0.75,1
SEED_001,NSAID,CC(=O)Oc1ccccc1C(=O)CF,True,False,True,0,1,0.454,1
SEED_001,NSAID,CC(=O)Oc1c(F)cccc1C(=O)O,True,False,True,0,1,0.139,4
SEED_001,NSAID,CC(=O)Oc1cc(F)ccc1C(=O)O,True,False,True,0,1,0.139,4
SEED_001,NSAID,CC(=O)Oc1ccc(F)cc1C(=O)O,True,False,True,0,1,0.139,4
SEED_001,NSAID,CC(=O)Oc1cccc(F)c1C(=O)O,True,False,True,0,1,0.139,4
SEED_001,NSAID,CC(=O)Oc1c(C)cccc1C(=O)O,True,False,True,0,1,0.308,3
SEED_001,NSAID,CC(=O)Oc1cc(C)ccc1C(=O)O,True,False,True,0,1,0.308,3
SEED_001,NSAID,CC(=O)Oc1ccc(C)cc1C(=O)O,True,False,True,0,1,0.308,3
