seed_id,name,therapeutic_class,n_analogs,error,runtime_s
SEED_001,Aspirin,NSAID,158,,2.206
SEED_002,Ibuprofen,NSAID,96,,1.979
SEED_003,Naproxen,NSAID,164,,3.344
SEED_004,Acetaminophen,Analgesic,95,,3.237
SEED_005,Diclofenac,NSAID,214,,5.582
SEED_006,Celecoxib,COX-2 Inhibitor,137,,4.866
SEED_007,Morphine,Opioid,179,,6.126
SEED_008,Oxycodone,Opioid,0,invalid_seed_smiles,0.001
SEED_009,Tramadol,Opioid,203,,4.308
SEED_010,Atorvastatin,Statin,197,,5.992
SEED_011,Simvastatin,Statin,123,,2.704
SEED_012,Rosuvastatin,Statin,109,,2.726
SEED_013,Lisinopril,ACE Inhibitor,76,,0.853
SEED_014,Enalapril,ACE Inhibitor,0,invalid_seed_smiles,0.0
SEED_015,Losartan,ARB,206,,8.222
SEED_016,Amlodipine,Calcium Channel Blocker,209,,4.472
SEED_017,Metoprolol,Beta Blocker,100,,2.573
SEED_018,Carvedilol,Beta Blocker,225,,7.436
SEED_019,Warfarin,Anticoagulant,263,,8.863
SEED_020,Apixaban,Anticoagulant,87,,1.809
SEED_021,Rivaroxaban,Anticoagulant,113,,1.918
SEED_022,Clopidogrel,Antiplatelet,0,invalid_seed_smiles,0.001
SEED_023,Amiodarone,Antiarrhythmic,141,,4.803
SEED_024,Digoxin,Cardiac Glycoside,90,,3.093
SEED_025,Metformin,Biguanide,40,,0.752
SEED_026,Glipizide,Sulfonylurea,0,invalid_seed_smiles,0.002
SEED_027,Glyburide,Sulfonylurea,165,,4.675
SEED_028,Sitagliptin,DPP-4 Inhibitor,46,,0.835
SEED_029,Empagliflozin,SGLT2 Inhibitor,214,,8.453
SEED_030,Canagliflozin,SGLT2 Inhibitor,255,,10.114
SEED_031,Dapagliflozin,SGLT2 Inhibitor,213,,6.883
SEED_032,Pioglitazone,Thiazolidinedione,175,,7.974
SEED_033,Rosiglitazone,Thiazolidinedione,134,,3.774
SEED_034,Imatinib,Tyrosine Kinase Inhibitor,113,,2.888
SEED_035,Gefitinib,Tyrosine Kinase Inhibitor,0,invalid_seed_smiles,0.002
SEED_036,Erlotinib,Tyrosine Kinase Inhibitor,204,,5.593
SEED_037,Sorafenib,Tyrosine Kinase Inhibitor,181,,4.922
SEED_038,Sunitinib,Tyrosine Kinase Inhibitor,48,,0.634
SEED_039,Pazopanib,Tyrosine Kinase Inhibitor,184,,5.698
SEED_040,Olaparib,PARP Inhibitor,63,,0.695
SEED_041,Tamoxifen,SERM,170,,5.298
SEED_042,Letrozole,Aromatase Inhibitor,142,,5.239
SEED_043,Anastrozole,Aromatase Inhibitor,96,,1.202
SEED_044,Methotrexate,Antimetabolite,180,,4.362
SEED_045,Cyclophosphamide,Alkylating Agent,17,,0.185
SEED_046,Doxorubicin,Anthracycline,333,,7.51
SEED_047,Paclitaxel,Taxane,0,invalid_seed_smiles,0.0
SEED_048,Sertraline,SSRI,159,,3.252
SEED_049,Fluoxetine,SSRI,93,,1.751
SEED_050,Escitalopram,SSRI,187,,4.185
SEED_051,Paroxetine,SSRI,178,,5.131
SEED_052,Venlafaxine,SNRI,101,,1.423
SEED_053,Duloxetine,SNRI,181,,3.98
SEED_054,Amitriptyline,TCA,146,,2.881
